"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "SCSS", "XML", "wxml", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\button\type.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\README.en-US.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 5, 24
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 17, 60
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\calendar.d.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\calendar.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\calendar.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\calendar.wxml", "wxml", 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 2, 53
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\calendar.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 1, 161
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\index.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\props.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\type.d.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\calendar\type.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\cell-group.d.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\cell-group.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\cell-group.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\cell-group.wxml", "wxml", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\cell-group.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\props.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\type.d.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell-group\type.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 15, 58
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\cell.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\cell.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\cell.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\cell.wxml", "wxml", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\cell.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 1, 122
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\props.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\type.d.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\cell\type.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\checkbox-group\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 42, 1, 17, 60
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\checkbox-group\checkbox-group.d.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
